date,hour,is_weekend_or_holiday,event_flag,name,current_crawds,weather_code,temperature,humidity,cloud,chance_of_rain
2024-06-15,21:00,1,0,,16.1,1063,23.8,72,90,45
2024-06-15,22:00,1,0,,8.7,1153,23.5,75,100,100
2024-06-16,10:00,1,0,,7.96,1000,26.9,53,4,0
2024-06-16,11:00,1,0,,7.96,1000,27.3,53,4,0
2024-06-16,12:00,1,0,,23.5,1000,27.4,53,4,0
2024-06-16,13:00,1,1,HIROMITSU KITAYAMA,79.0,1000,27.7,53,3,0
2024-06-16,14:00,1,0,,79.0,1000,27.7,54,2,0
2024-06-16,15:00,1,0,,59.02,1000,27.4,58,2,0
2024-06-16,16:00,1,0,,18.32,1000,26.8,64,3,0
2024-06-16,17:00,1,1,HIROMITSU KITAYAMA,61.24,1000,26.5,69,4,0
2024-06-16,18:00,1,0,,76.78,1000,26.4,71,5,0
2024-06-16,19:00,1,0,,67.9,1000,26.3,70,6,0
2024-06-16,20:00,1,0,,31.64,1000,26.1,70,5,0
2024-06-16,21:00,1,0,,16.1,1000,26.1,70,7,0
2024-06-16,22:00,1,0,,7.22,1000,26.2,69,8,0
2024-06-17,10:00,0,0,,5.0,1063,26.6,64,98,100
2024-06-17,11:00,0,0,,7.22,1063,27.2,60,100,45
2024-06-17,12:00,0,0,,7.22,1006,27.3,54,86,45
2024-06-17,13:00,0,0,,7.22,1063,27.7,51,55,45
2024-06-17,14:00,0,0,,5.0,1063,28.2,51,89,45
2024-06-17,15:00,0,0,,5.0,1063,27.7,56,88,100
2024-06-17,16:00,0,0,,5.0,1063,27.2,61,84,100
2024-06-17,17:00,0,0,,5.0,1000,26.7,64,21,0
2024-06-17,18:00,0,0,,7.22,1000,26.3,62,10,0
2024-06-17,19:00,0,0,,7.22,1000,25.8,60,12,0
2024-06-17,20:00,0,0,,7.22,1000,25.1,64,9,0
2024-06-17,21:00,0,0,,5.0,1000,24.6,69,6,0
2024-06-17,22:00,0,0,,7.22,1003,24.2,70,62,0
2024-06-18,10:00,0,0,,6.48,1189,19.1,92,100,100
2024-06-18,11:00,0,0,,7.96,1189,18.9,91,100,100
2024-06-18,12:00,0,0,,20.54,1195,18.6,93,100,100
2024-06-18,13:00,0,1,Number_i,73.08,1189,18.7,93,100,100
2024-06-18,14:00,0,0,,79.0,1189,18.9,92,100,100
2024-06-18,15:00,0,0,,76.78,1195,18.9,92,100,100
2024-06-18,16:00,0,0,,19.8,1189,18.9,94,100,100
2024-06-18,17:00,0,0,,25.72,1183,19.0,93,100,100
2024-06-18,18:00,0,1,Number_i,60.5,1063,19.3,91,100,100
2024-06-18,19:00,0,0,,59.02,1153,19.4,90,100,100
2024-06-18,20:00,0,0,,36.08,1183,19.4,90,100,100
2024-06-18,21:00,0,0,,13.88,1153,19.2,91,96,100
2024-06-18,22:00,0,0,,8.7,1153,19.3,90,75,100
2024-06-21,10:00,0,0,,5.0,1063,21.7,68,70,45
2024-06-21,11:00,0,0,,6.48,1003,22.1,58,45,0
2024-06-21,12:00,0,0,,6.48,1000,22.9,55,17,0
2024-06-21,13:00,0,0,,6.48,1000,23.6,55,20,0
2024-06-21,14:00,0,0,,5.0,1000,24.4,55,20,0
2024-06-21,15:00,0,0,,6.48,1000,24.8,54,18,0
2024-06-21,16:00,0,0,,5.0,1000,24.7,54,6,0
2024-06-21,17:00,0,0,,5.0,1000,24.5,56,7,0
2024-06-21,18:00,0,0,,5.0,1000,23.9,59,5,0
2024-06-21,19:00,0,0,,6.48,1000,23.2,62,5,0
2024-06-21,20:00,0,0,,6.48,1000,22.8,63,4,0
2024-06-21,21:00,0,0,,5.0,1000,22.4,63,3,0
2024-06-21,22:00,0,0,,5.0,1000,21.9,66,2,0
2024-06-22,10:00,1,0,,5.0,1000,24.3,56,3,0
2024-06-22,11:00,1,0,,6.48,1000,25.1,55,2,0
2024-06-22,12:00,1,0,,6.48,1000,25.7,54,3,0
2024-06-22,13:00,1,0,,6.48,1003,25.8,56,62,0
2024-06-22,14:00,1,0,,6.48,1000,26.2,57,18,0
2024-06-22,15:00,1,0,,7.96,1006,26.1,60,76,0
2024-06-22,16:00,1,0,,9.44,1000,25.2,68,5,0
2024-06-22,17:00,1,1,KEN MIYAKE,53.1,1000,24.5,73,6,0
2024-06-22,18:00,1,0,,59.02,1003,24.0,76,44,0
2024-06-22,19:00,1,0,,57.54,1003,23.9,76,54,45
2024-06-22,20:00,1,0,,23.5,1063,23.6,73,55,45
2024-06-22,21:00,1,0,,10.92,1063,22.9,73,54,100
2024-06-22,22:00,1,0,,6.48,1183,22.2,80,100,100
2024-06-23,10:00,1,0,,5.0,1153,22.8,90,100,100
2024-06-23,11:00,1,0,,6.48,1153,22.9,83,98,100
2024-06-23,12:00,1,0,,6.48,1063,23.1,80,86,45
